itemid,creatorid,creator,title,birth_year,death_year,collection,creation_date
149684,6346,"Fang Shishu (Chinese, 1693–1751)",The Ninth Day Literary Gathering at Xing’an [Temporary Retreat],1693,1751,ASIAN - Handscroll,1743
149684,6351,"Ye Fanglin (Chinese, active late 1600s–mid-1700s)",The Ninth Day Literary Gathering at Xing’an [Temporary Retreat],,,ASIAN - Handscroll,1743
150955,2268,"Giovanni Battista Pittoni (Italian, 1687–1767)",Saints Presenting a Devout Woman to the Virgin and Child,1687,1767,P - Italian 18th Century,1720s
160195,27028,"Edward Ruscha (American, 1937-)",Bronson Tropics,1937,,DR - American 20th Century,1965
138369,1658,"Eugène Delacroix (French, 1798–1863)",Mlle. Alexandrine-Julie de la Boutraye,1798,1863,Mod Euro - Painting 1800-1960,c. 1832–34
160089,5819,Herter Brothers (American),Fire Screen,,,Furniture,c. 1878–80
146824,262,"Margaret Bourke-White (American, 1904–1971)","""Hot Pigs,"" Otis Steel Co., Cleveland",1904,1971,PH - American 1900-1950,1928
147526,1643,"Jacques-Louis David (French, 1748–1825)",The Prisoner,1748,1825,DR - French,c. 1816–22
157228,2894,"Alvan Fisher (American, 1792–1863)",A Calm Watering Place--Extensive and Boundless Scene with Cattle,1792,1863,American - Painting,1816
376229,1748,"Odilon Redon (French, 1840–1916)",Quasimodo,1840,1916,DR - French,c. 1875–80
111789,6210,"Chen Juzhong (Chinese, active c. 1201–1207)",The Autumn Hunt,,,ASIAN - Album leaf,c. 1201–4
149399,12028,"Jean-Etienne Liotard (Swiss, 1702–1789)",François Tronchin,1702,1789,DR - Swiss,1757
94965,62793,"Giuliano da Maiano (Italian, 1432–1490)",Upper Paneling from a Sacristy Armoire,1432,1490,MED - Renaissance,c. 1460–1475
78982,65625,"Johann König (German, 1586–1642)",The Resurrection of Christ,1586,1642,P - German before 1800,1622
109141,2130,"Henri Matisse (French, 1869–1954)",Reclining Odalisque,1869,1954,DR - French,c. 1923
136823,1646,"Pierre-Paul Prud'hon (French, 1758–1823)","Study of a Nude Woman, Seated Looking to the Right (recto)",1758,1823,DR - French,c. 1810
159536,5670,"Pompeo della Cesa (Italian, active 1572–93)",Half Armor for the Foot Tournament,,1593,MED - Arms & Armor,c. 1590
296871,16318,"Thomas Chippendale (British, 1718–1779)",Pair of Candle Stands (torchères),1718,1779,Decorative Arts,c. 1773
87871,3366,"Milton Avery (American, 1885–1965)",Blue Bay,1885,1965,American - Painting,1960
142732,8891,"Henrik Wigström (Russian, 1862–1923)",Flower Study of an Anemone,1862,1923,Decorative Arts,c. 1905–15
142732,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of an Anemone,1842,1918,Decorative Arts,c. 1905–15
142759,55332,"House of Fabergé (Russian, 1842–1918)",Lacquer Box,1842,1918,Decorative Arts,c. 1890
142759,8906,Factory N. Lukutin (Russian),Lacquer Box,,,Decorative Arts,c. 1890
142772,8891,"Henrik Wigström (Russian, 1862–1923)",Clock,1862,1923,Decorative Arts,c. 1905–15
142772,55332,"House of Fabergé (Russian, 1842–1918)",Clock,1842,1918,Decorative Arts,c. 1905–15
142777,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Miniature Teapot,1860,1903,Decorative Arts,1886–96
142777,55332,"House of Fabergé (Russian, 1842–1918)",Miniature Teapot,1842,1918,Decorative Arts,1886–96
142809,8894,"Feodor Ivanovich Rückert (Russian, 1840–1917)",Tea Service,1840,1917,Decorative Arts,1887–96
142809,55332,"House of Fabergé (Russian, 1842–1918)",Tea Service,1842,1918,Decorative Arts,1887–96
170878,63557,"Muhammad Rizavi Hindi (Indian, active mid-1700s)",Posthumous portrait of the Mughal emperor Muhammad Shah (reigned 1719–1748) holding a falcon (recto),,1799,Indian Art - Mughal,1764
124001,42714,"Bihzad (Iranian, active 1470–1506)","Left side of a double-page album folio: Outside a Royal Encampment (recto) and Calligraphy, Persian Verses (verso)",,,Islamic Art,c. 1485
142807,12615,"George Grosz (German, 1893–1959)",Student (Costume Study for Goll's "Methusalem") (recto),1893,1959,DR - German,1922
128364,1765,"Pierre-Auguste Renoir (French, 1841–1919)",Young Woman Arranging Her Earring,1841,1919,Mod Euro - Painting 1800-1960,1905
160300,31348,"Katsushika Ōi (Japanese, c. 1800-after 1857)",Operating on Guan Yu's Arm,,,ASIAN - Hanging scroll,1840s
97973,14385,"Bristol Porcelain Factory (British, 1770–81)",Figure of Spring from the Four Seasons,,,Decorative Arts,c. 1775
97998,18307,"Derby Porcelain Factory (Chelsea-Derby Period, 1770–84)",Candelabrum Depicting an Allegorical Figure of Matrimony,,,Decorative Arts,c. 1775
149042,13916,"Juste-Aurèle Meissonnier (French, 1695–1750)",Tureen,1695,1750,Decorative Arts,1735–38
149042,13934,Pierre-François Bonnestrenne (French),Tureen,,,Decorative Arts,1735–38
149042,13926,"Henry Adnet (French, 1745)",Tureen,,1745,Decorative Arts,1735–38
149044,13916,"Juste-Aurèle Meissonnier (French, 1695–1750)",Stand for a Covered Tureen,1695,1750,Decorative Arts,1735–38
149044,13934,Pierre-François Bonnestrenne (French),Stand for a Covered Tureen,,,Decorative Arts,1735–38
168766,37174,"Yayoi Kusama (Japanese, 1929-)",Baby Stroller,1929,,CONTEMP - Sculpture,1962
